suburb,med_price
FERNTREE GULLY,890000
FERNY CREEK,1173500
FINGAL,1965800
FITZROY,1460000
FITZROY NORTH,1570000
FIVEWAYS,640000
FLEMINGTON,1010000
FLINDERS,3291500
FLORA HILL,510000
FOOTSCRAY,1053400
FOREST HILL,1210300
FOSTER,620000
FRANKSTON,710000
FRANKSTON NORTH,598000
FRANKSTON SOUTH,1150000
FRASER RISE,700000
FYANSFORD,955000
GARDEN CITY,1725000
GARFIELD,873200
GEELONG,985000
GEELONG WEST,955000
GEMBROOK,865000
GISBORNE,950000
GLADSTONE PARK,700000
GLEN HUNTLY,1950000
GLEN IRIS,2417500
GLEN WAVERLEY,1470000
GLENGARRY,554500
GLENROY,795000
GOLDEN BEACH,380000
GOLDEN POINT (BALLARAT),510000
GOLDEN SQUARE,500000
GORDON,738000
GOUGHS BAY,690000
GOWANBRAE,885000
GRANTVILLE,639500
GREEN LAKE,494000
GREENSBOROUGH,978000
GREENVALE,845000
GROVEDALE,705000
HADFIELD,825000
HALLAM,692500
HALLS GAP,647500
HAMILTON,348000
HAMLYN HEIGHTS,700000
HAMPTON,2278000
HAMPTON EAST,1480000
HAMPTON PARK,645000
HARKNESS,580000
HASTINGS,715000
HASTINGS WEST,655000
HAWTHORN,2415000
HAWTHORN EAST,1980000
HEALESVILLE,792000
HEATHCOTE,550000
HEATHERTON,1098500
HEATHMONT,1133500
HEIDELBERG,1252500
HEIDELBERG HEIGHTS,1000000
HEIDELBERG WEST,752500
HEPBURN,620000
HEPBURN SPRINGS,1005000
HERNE HILL,772500
HEYFIELD,380000
HEYWOOD,395000
HIGHETT,1430000
HIGHTON,864500
HILLSIDE (MELTON),750000
HOPETOUN,194500
HOPPERS CROSSING,600000
HORSHAM,442500
HUGHESDALE,1542000
HUNTINGDALE,1110500
HUNTLY,556500
HURSTBRIDGE,930000
INDENTED HEAD,917500
INGLEWOOD,500000
INVERLEIGH,750800
INVERLOCH,1000000
INVERMAY PARK,565000
IRONBARK,415000
IRYMPLE,460000
IVANHOE,1500000
IVANHOE EAST,1821300
JACANA,545000
JACKASS FLAT,517500
JAMIESON,620000
JAN JUC,1490000
JEERALANG NORTH,360000
JEPARIT,168000
JUNCTION VILLAGE,630000
JUNORTOUN,907000
KALIMNA,535000
KALKALLO,643500
KALLISTA,957500
KALORAMA,1145000
KANGAROO FLAT,525000
KANGAROO GROUND SOUTH,1161000
KANIVA,212500
KATANDRA WEST,485000
KEALBA,672500
KEILOR,967500
KEILOR DOWNS,730000
KEILOR EAST,915000
KEILOR LODGE,1042500
KEILOR PARK,813500
KENNINGTON,582500
KENSINGTON,1150000
KERANG,305000
KEW,2705000
KEW EAST,2030000
KEW NORTH,2065000
KEYSBOROUGH,890000
KIALLA,625000
KILCUNDA,938500
KILLARA (WODONGA),595000
KILMORE,565000
KILSYTH,831200
KILSYTH SOUTH,937500
KINGLAKE,771000
KINGS PARK,605000
KINGSBURY,802000
KINGSVILLE,1092500
KNOXFIELD,965000
KOO WEE RUP,632500
KOONDROOK,450000
KOROIT,628800
KORUMBURRA,475000
KURUNJANG,520000
KYABRAM,405000
KYNETON,975000
LAKE BOGA,415000
LAKE GARDENS,630000
LAKE TYERS BEACH,811000
LAKE WENDOUREE,1200000
LAKES ENTRANCE,477500
LALOR,655000
LANCEFIELD,665000
LANG LANG,717500
LANGWARRIN,788500
LARA,700000
LARA LAKE,685000
LAUNCHING PLACE,743500
LAVERTON,560000
